系列,编号,派系,卡牌名称,备用卡牌名称,图片链接,类型,独有,卡牌费用,初始威胁,意志力,攻击力,防御力,生命值,任务点,属性,警戒,远攻,限制,隐匿,厄运,遭遇,守护,协同,种族,规则文字,功能,人数,精神,战术,领导,学识,中立,1352
魔窟谷,137,战术,马克的长矛,骠骑之枪,66d8e628-8ca8-4605-9017-aece027f054f.jpg,附属,,1,,,,,,,"物品.
武器.",,,√,,,,,,,"限制.
附属到一名洛汗角色。
所附属角色获得+1【攻击力】。（如果攻击场景区中的敌军，则以+2【攻击力】代替。）",攻击,,,,,,,
魔窟谷,138,战术,埃奥尔一族，勇往直前！,伊欧子嗣冲啊！,80cdd2b5-60cf-4d47-afe7-505b79abcb1b.jpg,事件,,2,,,,,,,,,,,,,,,,,战斗行动：本阶段，每名洛汗英雄能被宣告为攻击者，攻击场景区中的敌军。,攻击,,,,,,,
魔窟谷,139,精神,马克的坐骑,骠骑战马,90d300da-a557-44b1-a634-d54782ff5e48.jpg,附属,,1,,,,,,,坐骑.,,,,,,,,,,"附属到一名刚铎或洛汗英雄。
响应：在指派所附属英雄执行任务后，从所附属英雄的资源池中支付1枚资源标记,以重置所附属英雄。
",,,,,,,,
魔窟谷,140,精神,宁洛德尔之谣,宁若戴尔的歌谣,b442354c-887d-403e-815b-a11f10a8760d.jpg,事件,,1,,,,,,,歌谣.,,,,,,,,,,行动：选择一名【精神】英雄。该英雄的资源池中每有1枚资源标记，其获得+1【意志力】直到本阶段结束。,任务,,,,,,,
魔窟谷,141,学识,埃瑞德宁莱斯勘探者,伊瑞德尼姆拉斯勘探者,3eb1141f-bf1f-401e-a69d-e4df0af2a8ab.jpg,盟友,,2,,1,0,1,2,,矮人.,,,,,,,,,矮人,响应：在伊瑞德尼姆拉斯勘探者进场后，弃除你牌组顶端的三张卡牌。然后，从你的弃牌堆中选择一张卡牌，并洗回你的牌组。,,,,,,,,
魔窟谷,142,学识,伊熙尔杜卷轴,埃西铎卷轴,63c6bd3a-5566-412d-9199-3929d2fc3cf2.jpg,附属,*,4,,,,,,,记载.,,,,,,,,,,"附属到一名【学识】英雄。
你每控制一名具有印刷【学识】资源符号的英雄，打出埃西铎卷轴的费用减1。
行动：弃除埃西铎卷轴，以从你的弃牌堆中打出任意一张【学识】事件牌，如同从你的手牌中打出。然后，将该事件牌放置到你的牌组底端。",,,,,,,,
魔窟谷,143,中立,隐秘的珍宝,隐蔽的窖藏,6a871e9e-fa3e-4556-8730-09aed1a3ec40.jpg,事件,,0,,,,,,,,,,,,,,,,,"响应：在隐蔽的窖藏从你的牌组中被弃除后，增加2枚资源标记到你控制的一名英雄的资源池中。
行动：支付1枚资源标记，以补一张卡牌。",,,,,,,,
艾辛格之声,1,战术,伊奥梅尔,伊欧墨,21cfb9e9-6777-4bc6-ace6-08fe68e949a4.png,英雄,*,,10,1,3,2,4,,洛汗.贵族.战士.,,,,,,,,,洛汗,响应：在一名角色离场后，伊欧墨获得+2【攻击力】直到本回合结束。（每个回合限制1次）,攻击,多人,,,,,,
艾辛格之声,2,学识,葛力马,葛力马,b49c3563-b3cd-4f33-b706-c2a721028891.png,英雄,*,,9,2,1,2,3,,洛汗.艾辛格.,,,,,,,,,洛汗,行动：你从手牌打出的下一张卡牌费用降低1点。该卡牌获得厄运 1。（每个回合限制1次）,,单人,,,,,,
艾辛格之声,3,中立,萨茹曼,萨鲁曼,20250f12-5bfc-4ffc-8e7e-4e3d71276509.png,盟友,*,3,,3,5,4,4,,巫师.艾辛格.,,,,,√,,,,巫师,"厄运 3. 回合结束时，从场上弃除萨鲁曼。
响应：在萨鲁曼进场后，选择场景区一个非独有敌军或地区，当萨鲁曼在场时，被选择的敌军或地区视为不在游戏中。",,单人,,,,,,
艾辛格之声,4,领导,欧尔桑克禁卫,欧散克塔卫兵,6f333a3e-6c2f-4f69-9c93-c5f46dc4f339.png,盟友,,2,,1,0,2,2,,艾辛格.,,,,,,,,,,响应：在你因厄运关键词而上升威胁等级后，重置欧散克塔卫兵。,,,,,,,,
艾辛格之声,5,学识,艾森加德信使,欧散克塔信使,fe60620b-9ea1-4bf8-8d41-e7fd81a28427.png,盟友,,2,,1,0,1,2,,艾辛格.,,,,,,,,,,响应：在你因厄运关键词而上升威胁等级后，欧散克塔信使获得+1【意志力】直到本回合结束。（每个回合限制2次）,任务,,,,,,,
艾辛格之声,6,战术,西伏尔德先驱者,西谷先驱者,93a364f6-2a0f-4872-9770-aa7a1bd30d3d.png,盟友,,2,,0,2,1,2,,"洛汗.
斥候.",,,,,,,,,洛汗,行动：弃除西谷先驱者以选择一名未与你交锋的敌军。与该敌军交锋。,攻击,,,,,,,
艾辛格之声,7,精神,西伏尔德饲马师,西谷饲马人,0567c2df-677c-4529-985a-54621088fe58.png,盟友,,1,,1,0,0,1,,洛汗.,,,,,,,,,洛汗,响应：在西谷饲马人进场后，从你牌组顶端的十张卡牌中搜寻一张坐骑附属并加入你的手牌。将你的牌组洗牌。,,,,,,,,
艾辛格之声,8,战术,洛汗战马,洛汗战马,6f8508d7-bb11-4d5c-a077-80a35e00105e.png,附属,,1,,,,,,,坐骑.,,,√,,,,,,,"附属到一名【战术】或洛汗英雄上。
限制.
响应：在附属的英雄参与一次攻击并消灭敌军后，横置洛汗战马以重置附属的英雄。",,,,,,,,
艾辛格之声,9,精神,银灯,银灯,9463354a-3f6d-43e5-acee-0ea42f8b4403.png,附属,,2,,,,,,,物品.,,,,,,,,,,"附属到一名【精神】英雄上。
当附属的英雄未横置时，与你交锋的敌军按牌面朝上方式分配暗影牌。（结算敌军攻击时依然会结算暗影牌效果。）",,,,,,,,
艾辛格之声,10,中立,欧尔桑克钥匙,欧散克塔钥匙,e6ee53f4-36e4-4671-9d76-8974134d052e.png,附属,*,1,,,,,,,物品.,,,,,,,,,,"附属到一名英雄上。
响应：在你因厄运关键词而上升威胁等级后，横置欧散克塔钥匙以增加1枚资源标记到所附属英雄的资源池中。",,,,,,,,
艾辛格之声,11,领导,努曼诺尔的遗赠,努曼诺尔的遗赠,b9e3d591-5973-4f35-90b8-d74d0aeabcc7.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 3.
行动：增加1枚资源标记到每个英雄的资源池中。",,多人,,,,,,
艾辛格之声,12,学识,深层知识,深层知识,cfba1adb-5d73-4d46-b10b-b3af003f0e90.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 2.
行动：每名玩家补两张卡牌。",,多人,,,,,,
艾辛格之声,13,战术,巫师的声音,巫师的声音,c6df7ee6-41e2-4b24-91d6-f4f9f1bd7d94.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 3.
行动：每名玩家选择一名与其交锋的敌军。直到本阶段结束，被选择的敌军不能攻击选择它的玩家。",防御,多人,,,,,,
艾辛格之声,14,精神,欧尔桑克的力量,欧散克塔的力量,2867f4c6-b458-4caa-bde2-1a6266c094d6.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 2.
行动：每名玩家选择并从场上弃除一张状态附属牌。",,多人,,,,,,
艾辛格之声,15,中立,真知晶石,真知晶石,9de50e07-a3a3-4049-908c-c0463aabf91f.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 1.
行动：从你的牌库中搜寻一张带厄运关键词的卡牌并加入手牌中。将你的牌组洗牌。",,单人,,,,,,
登兰德的陷阱,1,领导,凯勒博恩,凯勒鹏,4c4cccd3-576a-41f1-8b6c-ba11b4cc3d4b.png,英雄,*,,11,3,2,2,4,,西尔凡精灵.贵族.,,,,,,,,,西尔凡精灵,响应：在一名西尔凡精灵盟友进场后，该盟友获得+1【意志力】，+1【攻击力】和+1【防御力】直到本回合结束。,任务,多人,,,,,,
登兰德的陷阱,2,领导,耐斯向导,林心引路人,dad6e885-d535-4100-bd9f-4726ea7c7465.png,盟友,,2,,1,1,0,1,,西尔凡精灵.斥候.,,,,,,,,,西尔凡精灵,响应：在林心引路人进场后，选择一名英雄。本回合指派该英雄执行任务时无需横置。,任务,,,,,,,
登兰德的陷阱,3,领导,迅捷无声,迅捷无声,921ba9dd-32c3-4dae-892c-4452c298459e.png,事件,,1,,,,,,,,,,,,,,,,,行动：重置一名你控制的英雄。然后，如果你的威胁等级等于或低于20，并且这是你本回合第一次打出迅捷无声，则将本卡牌返回你的手牌，代替弃除。,,,,,,,,
登兰德的陷阱,4,战术,火足,火蹄,0ee1f1e6-1952-4bad-8ecd-631e80f4ccc0.png,附属,*,2,,,,,,,坐骑.,,,√,,,,,,,"限制.
附属到一名【战术】或洛汗英雄上。
所附属英雄获得+1【攻击力】（如果所附属英雄是伊欧墨，则以+2【攻击力】代替）。
响应：在所附属英雄单独攻击后，横置火蹄，以选择一个与你交锋的非独有敌军。将本次攻击的过量伤害分配到所选择的敌军上，",,,,,,,,
登兰德的陷阱,5,战术,千钧一发,千钧一发,77bb0328-fe88-42a2-af25-2452c51d5e18.png,事件,,0,,,,,,,,,,,,√,,,,,"厄运 X.
响应：取消刚分配到一名英雄上的X点伤害。",,,,,,,,
登兰德的陷阱,6,精神,蓝山商人,蓝山商人,6840ef99-d0e6-4450-b46f-ad04fee2e78c.png,盟友,,2,,1,0,1,2,,矮人.,,,,,,,,,矮人,行动：选择另一位玩家。该玩家获得蓝山商人的控制权。然后，将1枚资源标记从他控制的一名英雄的资源池中移至你控制的一名英雄的资源池中，或弃除蓝山商人。（每个回合限制1次）,,多人,,,,,,
登兰德的陷阱,7,精神,吉尔-加拉德的陨落,吉尔加拉德的陨落,657e60d4-788e-4064-a8c3-e62584320872.png,附属,,1,,,,,,,歌谣.,,,,,,,,,,"每套牌组限制1张。附属到一名英雄上。
响应：当所附属英雄被消灭时，将吉尔加拉德的陨落加入胜利点计数中，以使你的威胁等级下降X点，X等于所附属英雄的初始威胁。",,,,,,,,
登兰德的陷阱,8,学识,伊希利恩远望者,伊西利安远望者,86edf661-e3d8-4372-9325-f2d2d5ac354a.png,盟友,,3,,1,2,0,2,,刚铎.游侠.,,,,√,,,,,刚铎,"隐匿 2.
响应：在伊西立安远望者进场后，查看遭遇牌组顶端的一张卡牌。如果是敌军牌，你可以将其弃除。",,,,,,,,
登兰德的陷阱,9,学识,树民,树民,f39eaad9-134d-406b-9111-e03c33e0cd16.png,事件,,0,,,,,,,,,,,,,,,,,行动：将一名你控制的西尔凡精灵盟友返回你的手牌，以从你牌组顶端的五张卡牌中搜寻一名西尔凡精灵盟友。将该盟友放置进场，并将其他的卡牌洗回你的牌组。每个阶段你仅能打出一张树民。,,,,,,,,
登兰德的陷阱,10,中立,白道会,圣白议会,07d3df19-30b4-493c-a8b0-b38695322e71.png,事件,,X,,,,,,,,,,,,,,,,,"X等于游戏中的玩家数量。
行动：从起始玩家开始，每位玩家选择一个不同的选项：重置一名他控制的英雄，增加1枚资源标记到一名他控制的英雄的资源池中，补一张卡牌，或将一张卡牌从他的弃牌堆洗回他的牌组。",,多人,,,,,,
三场试炼,25,精神,伊德拉恩,伊卓恩,df9683da-d86f-46c9-9ef5-66001753dad5.png,英雄,*,,11,2,3,2,4,,登丹人.游侠.斥候.,,,,,,,,,登丹人,响应：在一个地区被完全探索后，重置伊卓恩,攻击,多人,,,,,,
三场试炼,26,领导,幽谷斥候,瑞文戴尔斥候,b1fb86fd-728b-4e1b-950a-73daa2a82753.png,盟友,,2,,1,1,0,2,,诺多精灵.斥候.,,,,√,,,,,诺多精灵,隐匿 2.,,,,,,,,
三场试炼,27,领导,诱敌之声,诱敌之声,14936075-9e6a-43af-9497-dbee9df95781.png,事件,,0,,,,,,,,,,,,,,,,,战斗行动：将一名你控制的西尔凡精灵盟友返回你的手牌，以选择一个与一位玩家交锋的敌军。该敌军本阶段不能攻击该玩家。,防御,,,,,,,
三场试炼,28,战术,儒米尔,卢米尔,4b794779-c6b6-4ee0-b13f-196b721e28a7.png,盟友,*,4,,2,2,1,2,,西尔凡精灵.斥候.,,√,,,,,,,西尔凡精灵,"远攻.
响应：在从你的手牌中打出卢米尔后，选择一个与一位玩家交锋的敌军。对该敌军造成X点伤害，X等于你控制的具有“远攻”关键词角色的数量",,,,,,,,
三场试炼,29,战术,精灵锁甲,精灵锁甲,6b86cf8e-1708-434d-90a5-93163f3d61ea.png,附属,,2,,,,,,,物品.防具.,,,√,,,,,,,"限制.
附属到一名诺多精灵或西尔凡精灵角色上，
所附属角色获得+2生命值并获得“警戒”。",防御,,,,,,,
三场试炼,30,精神,灰水河漫游者,灰泛河流浪者,284838f8-1ea0-466f-a373-032c7ad6e836.png,盟友,,3,,2,1,0,2,,登丹人. 斥候.,,,,,,,,,登丹人,当你从你的手牌中打出灰泛河流浪者时，你可以给予其“厄运 2”。如果你如此做，其获得：“响应：在你打出灰泛河流浪者后，为在场的每个地区上放置1枚进度标记。”,,,,,,,,
三场试炼,31,精神,阿尔诺看守者,亚尔诺看守者,f9b39223-3b12-4682-8db5-9ef4116b4919.png,附属,*,1,,,,,,,头衔.,,,,,,,,,,"附属到一名斥候英雄上。
当所附属角色被指派执行任务时，放置1枚进度标记到每回合从遭遇牌组展示的第一张地区牌上。",,,,,,,,
三场试炼,32,学识,埃尔隆德的来信,爱隆的来信,cc4b0912-ba4a-44b6-b7c5-2c0f0b325ebf.png,事件,,0,,,,,,,,,,,,,,,,,行动：选择一位玩家。该玩家可以从他的手牌中选择一张卡牌并将其加入另一位玩家的手牌中。在本回合结束时，如果所选择的卡牌依然在其手牌或场中，则将其洗回其拥有者的牌组。,,,,,,,,
三场试炼,33,学识,无声的移动,无声的移动,b520fbc1-3cb9-49aa-9b37-2dad3b3ba333.png,事件,,1,,,,,,,,,,,,,,,,,行动：选择一个在场景区的敌军。该敌军本回合不进行交锋检定。然后，如果你的威胁等级等于或低于20，并且这是你本回合第一次打出无声的移动，则将本卡牌返回你的手牌。,,,,,,,,
三场试炼,34,中立,绿叶胸针,绿叶胸针,1c692a1a-4ccf-4185-b5bd-d2b8d300de42.png,附属,,1,,,,,,,物品.,,,,,,,,,,"附属到一名英雄上。每名英雄限制一张。
每回合你打出的第一张与所附属英雄印刷派系相匹配的事件牌获得“隐匿1”。",,,,,,,,
塔巴德的麻烦,56,学识,罗瑞恩的哈尔迪尔,罗瑞安的哈尔达,9d548a43-0ef8-45e6-ab95-7356d218d203.png,英雄,*,,9,2,3,1,3,,西尔凡精灵.游侠.斥候.,,√,,,,,,,西尔凡精灵,"远攻.
战斗行动：如果你本回合没有与敌军交锋，横置罗瑞安的哈尔达，以宣告其为攻击者（并结算他的攻击）攻击一个未与你交锋的敌军。每个回合限制1次。",攻击,,,,,,,
塔巴德的麻烦,57,领导,安诺瑞安传令官,安诺瑞安传令官,8c6be9f6-f97c-40a9-88da-2f3ba7f640ed.png,盟友,,2,,1,0,1,1,,刚铎.,,,,,,,,,刚铎,当你从手牌中打出安诺瑞安传令官时，你可以给予其“厄运 2”。如果你如此做，其获得：“响应：在你打出安诺瑞安传令官后，选择一位玩家，该玩家可以将一名印刷费用等于或低于2的盟友从他的手牌放置进场。”,,单人,,,,,,
塔巴德的麻烦,58,领导,啊，罗瑞恩！,喔，罗瑞安！,b4d93180-0ebc-4a9b-9817-e761068570e3.png,附属,*,1,,,,,,,歌谣.,,,,,,,,,,"附属到一名英雄上。
行动：横置“喔，罗瑞安！”，以使你本阶段打出的下一张西尔凡精灵盟友牌的费用减1（最少为1）。",,多人,,,,,,
塔巴德的麻烦,59,战术,格怀希尔,关赫,2e7f22cc-218e-4dad-b4e4-00b2208713d9.png,盟友,*,5,,2,3,1,4,,"生物.
巨鹰.",,,,,,,,,巨鹰,"关赫不受限制附属。
响应：在关赫进场后，从你的弃牌堆中搜寻一名巨鹰盟友，将其放置进场由你控制。在本回合结束时，如果该盟友依然在场，将其加入你的手牌。",攻击,,,,,,,
塔巴德的麻烦,60,战术,追击敌人,追杀敌军,af74e00e-a04e-4a15-a538-d36539bfb751.png,事件,,0,,,,,,,,,,,,,,,,,行动：将一名你控制的西尔凡精灵盟友返回你的手牌，以选择一位玩家。对与该玩家交锋的每个敌军造成1点伤害。,,,,,,,,
塔巴德的麻烦,61,精神,苏醒的勇气,苏醒的勇气,72ec977b-6d24-459c-aaa8-49c2a01f0766.png,事件,,1,,,,,,,,,,,,,,,,,行动：选择一名英雄，该英雄获得+2【意志力】直到本阶段结束。然后，如果你的威胁等级小于或等于20，并且这是你本回合第一次打出苏醒的勇气，则将本卡牌返回你的手牌，代替弃除。,任务,,,,,,,
塔巴德的麻烦,62,精神,命运选择,命运选择,0d0b210e-995a-4ded-b7b0-d32b59dbaa4f.png,事件,,0,,,,,,,,,,,,,,,,,响应：在你的威胁等级因遭遇牌效果而上升后，你的威胁等级下降等量的数值。,,,,,,,,
塔巴德的麻烦,63,学识,加拉兹吟游诗人,凯兰崔姆乐手,bd81ff6a-9c8f-415e-85fb-da84c21ef2a4.png,盟友,,2,,1,0,0,1,,西尔凡精灵.吟游诗人.,,,,,,,,,西尔凡精灵,响应：在凯兰崔姆乐手进场后，从你的牌组顶端的五张卡牌中搜寻一张事件牌，并将其加入你的手牌。将其他的卡牌洗回你的牌组。,,,,,,,,
塔巴德的麻烦,64,学识,兰巴斯,兰巴斯,f86ea37a-d70d-4ff2-ac36-2a0ff1f7ffa9.png,附属,,1,,,,,,,物品.,,,,,,,,,,"如果你控制一名诺多精灵或西尔凡精灵英雄，才能打出。
附属到一名英雄上。
行动：弃除兰巴斯，以重置所附属的英雄并为其治疗3点伤害。",,,,,,,,
塔巴德的麻烦,65,中立,耐斯防御者,林心守卫,b91ba94d-e6b9-41f6-89ed-df1fb1f22335.png,盟友,,3,,0,1,2,2,,西尔凡精灵.战士.,√,,,,,,,,西尔凡精灵,"警戒.
响应：在一名你控制的西尔凡精灵离场后，重置林心守卫。",,,,,,,,
天鹅沼泽,84,战术,玛布隆,马伯龙,9e3a4b3b-7bb7-4403-984c-411af5ec8467.png,英雄,*,,10,2,2,2,4,,刚铎.游侠.,,,,,,,,,刚铎,响应：在你与一个敌军交锋后，增加1枚资源标记到马伯龙的资源池中。（每个阶段限制1次）,,,,,,,,
天鹅沼泽,85,领导,跟我来！,跟我来！,b86c3959-86af-4ce4-927f-769b873e4774.png,事件,,1,,,,,,,,,,,,,,,,,行动：获得起始玩家标记的控制权，并补一张卡牌。,,,,,,,,
天鹅沼泽,86,领导,勒紧裤带,勒紧我们的裤带,e1ff74ae-0c48-4f6c-86c8-9ac7339eb554.png,事件,,0,,,,,,,,,,,,,,,,,恢复行动：选择一位玩家。该玩家控制的每名本回合未花费任何资源的英雄获得1枚资源标记。每回合所有玩家共计仅能打出一张勒紧我们的裤带。,,多人,,,,,,
天鹅沼泽,87,战术,加拉松弓手,加拉顿弓箭手,39775f69-5cf4-4133-9cf4-45a1522aa9ea.png,盟友,,2,,0,2,0,1,,西尔凡精灵.战士.,,√,,,,,,,西尔凡精灵,"远攻.
响应：在加拉顿弓箭手进场后，对一个未与你交锋的敌军造成1点伤害。",,多人,,,,,,
天鹅沼泽,88,战术,加拉兹弓,凯兰崔姆之弓,12d436ac-15e6-47c5-8288-357c918071a7.png,附属,,1,,,,,,,"物品.
武器.",,,√,,,,,,,"限制.
附属到一名具有“远攻”关键词的西尔凡精灵角色上。
所附属的角色获得+1【攻击力】。（如果攻击一个未与你交锋的敌军，则以+2【攻击力】代替。）",,多人,,,,,,
天鹅沼泽,89,精神,凯尔都因河旅人,赛尔督因河旅者,c541b65a-d6d4-4b2c-8925-96c31d52aa1c.png,盟友,,3,,2,0,1,2,,谷地.斥候.,,,,√,,,,,谷地,"隐匿 2.
响应：在赛尔督因河旅者进场后，查看遭遇牌组顶端的一张卡牌。如果是地区牌，你可以将其弃除。",,,,,,,,
天鹅沼泽,90,精神,险域中的孤岛,险域中的孤岛,26a52bdc-f8e4-40a3-8047-8d696b842cdf.png,事件,,0,,,,,,,,,,,,,,,,,行动：将你控制的一名西尔凡精灵盟友返回你的手牌，以使你的威胁等级下降X点。X等于返回你手牌的盟友的印刷费用。,,,,,,,,
天鹅沼泽,91,学识,黑森林拓荒者,幽暗密林拓荒者,c75056aa-907b-40b8-a54a-18ea07b33dc3.png,盟友,,2,,1,0,0,2,,樵夫.,,,,,,,,,,当你从你的手牌中打出幽暗密林拓荒者时，你可以给予其“厄运 1”。如果你如此做，其获得：“响应：在你打出幽暗密林拓荒者后，选择场景区中的一张卡牌。所选择的卡牌不计算其【威胁值】，直到本回合结束。”,,,,,,,,
天鹅沼泽,92,学识,飞毛腿,疾风之足,17cb8a9a-6369-4ea9-a614-02908bd7b77f.png,附属,*,1,,,,,,,头衔.,,,,,,,,,,"附属到一名游侠英雄上。
响应：在指派所附属英雄执行任务后，指定敌军、地区或阴谋。如果有一张被指定的卡牌在本阶段中被展示，横置疾风之足以重置所附属英雄。",,,,,,,,
天鹅沼泽,93,中立,西方守护者,西方守护者,a1f5a577-30bf-44ed-b60b-e733b5f26d55.png,附属,*,1,,,,,,,头衔.,,,,,,,,,,"附属到一名在场的非目标的独有盟友上。
起始玩家获得所附属盟友的控制权。
对你造成的无人防御的伤害可以分配到所附属盟友上。",,多人,,,,,,
凯勒布理鹏的秘密,112,精神,凯兰崔尔,加拉德瑞尔,8d6a15a8-e363-46bb-8e49-0af45a1ea0d1.png,英雄,*,,9,4,0,0,4,,诺多精灵. 贵族.,,,,,,,,,诺多精灵,"凯兰崔尔不能执行任务，攻击或防御。你控制的盟友，在其进场的回合指派其执行任务时无须横置。
行动：横置凯兰崔尔，以选择一位玩家。该玩家的威胁等级下降1点，并补一张卡牌。（每个回合限制1次）",,,,,,,,
凯勒布理鹏的秘密,113,领导,马迪尔的后裔,马迪尔的后裔,83842580-bfe9-4d56-addf-e1d290eb7bcf.png,附属,*,1,,,,,,,头衔.,,,,,,,,,,"附属到一名贵族英雄上。
响应：在所附属英雄因卡牌效果获得任意数量资源标记后，横置马迪尔的后裔，以重置所附属英雄。",,,,,,,,
凯勒布理鹏的秘密,114,领导,欧洛芬,欧洛芬,9220dbae-e7fc-43fc-b772-043af7d4bda1.png,盟友,*,3,,2,2,0,2,,西尔凡精灵.斥候.,,√,,,,,,,西尔凡精灵,"远攻.
响应：在欧洛芬进场后，将一名西尔凡精灵盟友从你的弃牌堆返回你的手牌。",,,,,,,,
凯勒布理鹏的秘密,115,战术,汉那斯安南守卫,汉那斯安南守卫,05577e9f-477b-4842-8491-32c748c1a0e4.png,盟友,,3,,0,2,2,2,,刚铎.战士.,,,,,,,,,刚铎,当你从你的手牌中打出汉那斯安南守卫时，你可以给予其“厄运 1”。如果你如此做，其获得：“响应：在你打出汉那斯安南守卫后，选择一名角色，该角色获得+2【防御力】并获得‘警戒’，直到本回合结束。”,,,,,,,,
凯勒布理鹏的秘密,116,战术,洛希尔人冲锋,洛汗冲锋,4fb48ed9-1651-4ae7-83d1-9d76a1dc27e7.jpg,事件,,2,,,,,,,,,,,,,,,,,行动：每名具有坐骑附属的洛汗角色获得+3【攻击力】，直到本阶段结束。,,多人,,,,,,
凯勒布理鹏的秘密,117,精神,加拉德瑞尔的侍女,凯兰崔尔的侍女,ff3794e8-d8b1-48dc-a9f8-97ea7d6b3874.png,盟友,,2,,2,0,1,1,,西尔凡精灵.,,,,,,,,,西尔凡精灵,响应：在凯兰崔尔的侍女进场后，选择一位玩家。该玩家的威胁等级下降1点。,,多人,,,,,,
凯勒布理鹏的秘密,118,精神,加拉德瑞尔的水镜,凯兰崔尔之镜,6e97a705-2458-4aa1-ad90-f3cd8200ca5a.png,附属,*,1,,,,,,,宝物.物品.,,,,,,,,,,"附属到凯兰崔尔上。
行动：横置凯兰崔尔之镜，从你的牌组顶端的十张卡牌中搜寻一张卡牌并将其加入你的手牌。将其余卡牌洗回你的牌组。然后，从你的手牌中随机弃除一张卡牌。",,,,,,,,
凯勒布理鹏的秘密,119,学识,游荡的恩特,游荡的树人,496b62d9-2e7c-4206-bae5-2b180fec84d1.png,盟友,,2,,2,2,2,2,,树人.,,,,,,,,,树人,"不受限制附属。
横置进场。",,,,,,,,
凯勒布理鹏的秘密,120,学识,罗瑞安斗篷,罗瑞安斗篷,f40cc90c-02df-464b-a401-6640aa93e2f8.png,附属,,1,,,,,,,物品.,,,,,,,,,,"附属到一名诺多精灵或西尔凡精灵角色上。
每名角色限制一张。
所附属角色获得+1【防御力】。（如果激活的地区具有森林属性，则以+2【防御力】代替。）",,,,,,,,
凯勒布理鹏的秘密,121,中立,南雅,南雅,17ed9b53-19f5-4ad1-ab91-14c2859e5a60.png,附属,*,1,,,,,,,宝物.戒指.,,,,,,,,,,"附属到凯兰崔尔上。
她获得【学识】资源符号。
任务行动：横置南雅和凯兰崔尔，以将她的【意志力】增加到另一名角色的【意志力】上，直到本阶段结束。",任务,,,,,,,
鹿角王冠,137,领导,埃肯布兰德,鄂肯布兰德,f2a282eb-eab1-472d-b7fb-71429a1a4855.png,英雄,*,,10,1,2,3,4,,"洛汗.
战士.",√,,,,,,,,洛汗,"警戒.
当鄂肯布兰德防御时，他获得：“响应：对鄂肯布兰德造成1点伤害以取消一个刚触发的暗影效果。”",防御,多人,,,,,,
鹿角王冠,138,领导,海尔姆深谷看守者,圣盔谷看守者,f64befcc-d4de-47a4-8517-5f2617984270.png,盟友,,3,,0,1,3,2,,"洛汗.
战士.",√,,,,,,,,洛汗,警戒.,防御,,,,,,,
鹿角王冠,139,领导,迎接晨光,迎接晨光,5d1c8757-7409-41da-9e12-454af06e8946.png,附属,*,1,,,,,,,歌谣.,,,,,,,,,,"附属到一名具有警戒关键词的英雄上。
响应：在所附属英雄防御一次攻击并且未受到战斗伤害后，横置迎接晨光以增加一枚资源标记到所附属英雄的资源池中。",,,,,,,,
鹿角王冠,140,战术,刚铎的统帅,刚铎的将军,29b76593-0ef3-410b-aa85-1c282d4b1582.png,附属,*,1,,,,,,,头衔.,,,,,,,,,,"附属到一名战士英雄上。
响应：在你主动交锋一个敌军后，横置刚铎的将军以使所附属英雄获得+1【攻击力】和+1【防御力】直到本回合结束。",,,,,,,,
鹿角王冠,141,战术,激愤的恩特,激愤的树人,665b16ad-accf-45c9-8725-f3f5d0818310.png,盟友,,2,,0,2,2,3,,树人.,,,,,,,,,树人,"不受限制附属.
以横置形式进场。
你每控制一名受伤的树人角色，激愤的树人获得+1【攻击】。",,,,,,,,
鹿角王冠,142,精神,冲倒他们,冲倒他们,6461b502-cb47-4528-b18a-db45988f1692.png,事件,,2,,,,,,,,,,,,,,,,,任务行动：选择在场景区的一个非独有敌军。直到本阶段结束，因任务成功而将被放置到任务上的进度标记将会改为对选择的敌军分配相应的伤害以代替。（进度标记依然会首先放置到任务激活地区上。）,,,,,,,,
鹿角王冠,143,精神,魔影退散,魔影让道,7c7912dc-4d55-4c40-98a0-befbbff24c90.png,事件,,3,,,,,,,,,,,,,,,,,"你必须使用来自三名不同英雄的资源池中的资源标记以支付本卡牌。
行动：从在场敌军身上弃除每张暗影牌。",,多人,,,,,,
鹿角王冠,144,学识,不要仓促行事！,不要仓促行事！,31406925-1626-4c17-b3ee-2e2700a99c14.png,事件,,0,,,,,,,,,,,,,,,,,响应：在一张遭遇牌展示但在结算上面任何的关键词或“展示后”效果前，选择一名参与任务的角色。重置该角色并将其从任务中移除。,,,,,,,,
鹿角王冠,145,学识,宁洛德尔河之水,宁若戴尔河之水,79cb32f4-053c-47e1-983d-59d64b493a76.png,事件,,3,,,,,,,,,,,,√,,,,,"厄运 3.
行动：治疗在场的每名角色身上的所有伤害。",,多人,,,,,,
